timestamp,src_ip,dst_ip,protocol,length
2026-06-03 17:59:53.805617,192.168.1.21,172.64.155.209,TCP,670
2026-06-03 17:59:53.809255,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:53.812909,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:53.819275,172.64.155.209,192.168.1.21,TCP,2200
2026-06-03 17:59:53.822986,192.168.1.21,172.64.155.209,TCP,66
2026-06-03 17:59:53.827070,172.64.155.209,192.168.1.21,TCP,418
2026-06-03 17:59:53.830322,192.168.1.21,172.64.155.209,TCP,66
2026-06-03 17:59:53.834054,172.64.155.209,192.168.1.21,TCP,97
2026-06-03 17:59:53.837321,192.168.1.21,172.64.155.209,TCP,66
2026-06-03 17:59:54.241269,192.168.1.21,142.250.205.78,TCP,1454
2026-06-03 17:59:54.250095,192.168.1.21,142.250.205.78,TCP,1454
2026-06-03 17:59:54.263661,192.168.1.21,142.250.205.78,TCP,1102
2026-06-03 17:59:54.494070,192.168.1.21,142.250.205.78,TCP,323
2026-06-03 17:59:54.498453,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:54.502548,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:54.506454,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:54.510606,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:54.514877,142.250.205.78,192.168.1.21,TCP,139
2026-06-03 17:59:54.519163,142.250.205.78,192.168.1.21,TCP,97
2026-06-03 17:59:54.523411,142.250.205.78,192.168.1.21,TCP,105
2026-06-03 17:59:54.527140,192.168.1.21,142.250.205.78,TCP,66
2026-06-03 17:59:54.530988,192.168.1.21,142.250.205.78,TCP,105
2026-06-03 17:59:54.534705,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:58.332832,192.168.1.21,142.251.220.99,TCP,105
2026-06-03 17:59:58.337028,142.251.220.99,192.168.1.21,TCP,66
2026-06-03 17:59:58.341289,142.251.220.99,192.168.1.21,TCP,105
2026-06-03 17:59:58.345098,192.168.1.21,142.251.220.99,TCP,66
2026-06-03 17:59:58.592011,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.598605,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.604769,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.611160,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.617120,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.623283,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.629387,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.635311,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.641195,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.647284,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.651441,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:58.655670,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:58.659992,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:58.664056,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:58.670559,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.697409,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:58.700884,192.168.1.21,172.64.155.209,TCP,1397
2026-06-03 17:59:58.702489,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:58.704087,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:58.705795,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:58.707335,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:58.709198,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:59.110341,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:59.121150,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:59.132388,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:59.141387,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:59.151923,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:59.163147,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:59.172912,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:59.215425,192.168.1.21,172.64.155.209,TCP,1169
